,0,1,
1,0.054209304,0.945790696,0.945790696
2,0.999999974,2.61E-08,0.999999974
3,0.993338615,0.006661385,0.993338615
4,0.999992651,7.35E-06,0.999992651
5,0.996270875,0.003729125,0.996270875
6,0.999604974,0.000395026,0.999604974
7,0.98398838,0.01601162,0.98398838
8,0.938104008,0.061895992,0.938104008
9,0.999620813,0.000379187,0.999620813
10,0.988453448,0.011546552,0.988453448
11,0.999416332,0.000583668,0.999416332
12,0.999899542,0.000100458,0.999899542
13,0.999999999,1.31E-09,0.999999999
14,0.955018852,0.044981148,0.955018852
15,0.999103614,0.000896386,0.999103614
16,0.999203965,0.000796035,0.999203965
17,0.999576214,0.000423786,0.999576214
18,0.996165941,0.003834059,0.996165941
19,0.996955161,0.003044839,0.996955161
20,0.995475501,0.004524499,0.995475501
21,0.999990594,9.41E-06,0.999990594
22,0.956006008,0.043993992,0.956006008
23,0.999996475,3.53E-06,0.999996475
24,0.999995861,4.14E-06,0.999995861
25,0.557692611,0.442307389,0.557692611
26,0.989578303,0.010421697,0.989578303
27,0.997332197,0.002667803,0.997332197
28,0.999993881,6.12E-06,0.999993881
29,0.946743651,0.053256349,0.946743651
30,0.918984264,0.081015736,0.918984264
31,0.94481489,0.05518511,0.94481489
32,0.999999461,5.39E-07,0.999999461
33,0.999992116,7.88E-06,0.999992116
34,0.999990909,9.09E-06,0.999990909
35,0.997315238,0.002684762,0.997315238
36,0.998472126,0.001527874,0.998472126
37,0.887664452,0.112335548,0.887664452
38,0.993970614,0.006029386,0.993970614
39,0.784311522,0.215688478,0.784311522
40,0.998238418,0.001761582,0.998238418
41,0.963917293,0.036082707,0.963917293
42,0.999002582,0.000997418,0.999002582
43,0.982416966,0.017583034,0.982416966
44,0.999990116,9.88E-06,0.999990116
45,0.997260427,0.002739573,0.997260427
46,0.999989321,1.07E-05,0.999989321
47,0.931081512,0.068918488,0.931081512
48,0.999234776,0.000765224,0.999234776
49,0.894221668,0.105778332,0.894221668
50,0.999925636,7.44E-05,0.999925636
51,0.997398194,0.002601806,0.997398194
52,0.994161159,0.005838841,0.994161159
53,0.999968533,3.15E-05,0.999968533
54,0.978452141,0.021547859,0.978452141
55,0.996865524,0.003134476,0.996865524
56,0.99961384,0.00038616,0.99961384
57,0.991996228,0.008003772,0.991996228
58,0.888335164,0.111664836,0.888335164
59,0.999998207,1.79E-06,0.999998207
60,0.934991699,0.065008301,0.934991699
61,0.999905051,9.49E-05,0.999905051
62,0.989525518,0.010474482,0.989525518
63,0.977376984,0.022623016,0.977376984
64,0.999430286,0.000569714,0.999430286
65,0.999794383,0.000205617,0.999794383
66,0.998364609,0.001635391,0.998364609
67,0.999991118,8.88E-06,0.999991118
68,0.995032008,0.004967992,0.995032008
